"collectionunitid","agemodel","ageboundolder","ageboundyounger","dateprepared","chronologies.notes","TEMP_chronid"
4614,"bounds",1854,1404,"2025-01-21",NA,"TEMP215"
4614,"event",1714,1544,"2025-01-21",NA,"TEMP216"
4616,"bounds",494,24,"2025-01-21",NA,"TEMP217"
4616,"event",384,164,"2025-01-21",NA,"TEMP218"
4619,"bounds",14600,9800,"2025-01-26",NA,"TEMP219"
4619,"event",13700,11300,"2025-01-26",NA,"TEMP220"
4620,"bounds",12274,10854,"2025-01-21",NA,"TEMP221"
4620,"event",11854,11284,"2025-01-21",NA,"TEMP222"
4622,"bounds",11824,8554,"2025-01-21",NA,"TEMP223"
4622,"event",10724,9664,"2025-01-21",NA,"TEMP224"
4625,"bounds",13264,12654,"2025-01-21",NA,"TEMP225"
4625,"event",13064,12814,"2025-01-21",NA,"TEMP226"
4627,"bounds",674,334,"2025-01-21",NA,"TEMP227"
4627,"event",584,444,"2025-01-21",NA,"TEMP228"
4628,"bounds",554,14,"2025-01-21",NA,"TEMP229"
4628,"event",414,174,"2025-01-21",NA,"TEMP230"
4632,"bounds",2514,634,"2025-01-21",NA,"TEMP231"
4632,"event",1864,1284,"2025-01-21",NA,"TEMP232"
4637,"bounds",1264,734,"2025-01-21",NA,"TEMP233"
4637,"event",1104,904,"2025-01-21",NA,"TEMP234"
4642,"bounds",13124,10904,"2025-01-21",NA,"TEMP235"
4642,"event",12484,11534,"2025-01-21",NA,"TEMP236"
4646,"bounds",5284,3924,"2025-01-21",NA,"TEMP237"
4646,"event",4794,4314,"2025-01-21",NA,"TEMP238"
4647,"bounds",11344,-75,"2025-01-21","younger age limits truncated at publication date (2025 CE)","TEMP239"
4647,"event",7724,3344,"2025-01-21",NA,"TEMP240"
4649,"bounds",8714,7284,"2025-01-21",NA,"TEMP241"
4649,"event",8234,7754,"2025-01-21",NA,"TEMP242"
4652,"bounds",624,-75,"2025-01-21","younger age limits truncated at publication date (2025 CE)","TEMP243"
4652,"event",404,134,"2025-01-21",NA,"TEMP244"
4655,"bounds",9754,7554,"2025-01-21",NA,"TEMP245"
4655,"event",9014,8284,"2025-01-21",NA,"TEMP246"
4656,"bounds",1254,1064,"2025-01-21",NA,"TEMP247"
4656,"event",1204,1114,"2025-01-21",NA,"TEMP248"
4657,"bounds",5364,4864,"2025-01-21",NA,"TEMP249"
4657,"event",5234,5004,"2025-01-21",NA,"TEMP250"
4658,"bounds",474,64,"2025-01-21",NA,"TEMP251"
4658,"event",344,194,"2025-01-21",NA,"TEMP252"
4659,"bounds",5714,3684,"2025-01-21",NA,"TEMP253"
4659,"event",5024,4384,"2025-01-21",NA,"TEMP254"
4662,"bounds",3264,2494,"2025-01-26",NA,"TEMP255"
4662,"event",3014,2764,"2025-01-26",NA,"TEMP256"
4664,"bounds",3534,3024,"2025-01-21",NA,"TEMP257"
4664,"event",3384,3194,"2025-01-21",NA,"TEMP258"
4671,"bounds",12100,7300,"2025-01-26",NA,"TEMP259"
4671,"event",11500,8300,"2025-01-26",NA,"TEMP260"
4673,"bounds",2214,894,"2025-01-26",NA,"TEMP261"
4673,"event",1874,1054,"2025-01-26",NA,"TEMP262"
4676,"bounds",1364,784,"2025-01-21",NA,"TEMP263"
4676,"event",1174,974,"2025-01-21",NA,"TEMP264"
4677,"bounds",7044,892,"2025-01-26",NA,"TEMP265"
4677,"event",6074,1227,"2025-01-26",NA,"TEMP266"
4678,"bounds",1464,654,"2025-01-21",NA,"TEMP267"
