"site_name","site_identifier","siteid.x","sitename","lab_number","age","errorolder","erroryounger","measured_age","ma_sigma","normalized_age","na_sigma"
"Stott","DlMa-1",16337,"Stott [DlMa-1]","GX-5142G",1080,135,135,1080,135,1200,135
"Boys","AlGs-__10",16780,"Boys [AlGs-10]","I-7322",985,20,20,NA,NA,985,120
"Vandenbygaard","AhHl-__15",16090,"Vandenbygaard [AhHl-15]","DIC-425",1280,80,80,1280,80,1360,80
"Charlie Lake Cave","HbRf-39",4766,"Charlie Lake Cave [HbRf39]","CAMS-2317",10290,100,100,NA,NA,9490,140
"Cement Creek Cave","5GN?",13755,"Cement Creek Cave","UCIAMS-126396",44400,NA,NA,NA,NA,44000,NA
"Meigs Pasture","8OK102",5238,"Meig's Pasture [8OK102]","Beta-21253",3700,80,80,3700,80,4100,80
"Meigs Pasture","8OK102",5238,"Meig's Pasture [8OK102]","Beta-21254",3670,80,80,3670,80,4070,80
"Meigs Pasture","8OK102",5238,"Meig's Pasture [8OK102]","Beta-21255",3630,90,90,3630,90,4030,90
"Hontoon Island","8VO202",5098,"Hontoon Island [8VO202]","UM-2602",190,50,50,NA,NA,200,50
"Hontoon Island","8VO202",5098,"Hontoon Island [8VO202]","UM-2604",250,50,50,NA,NA,260,50
"Hontoon Island","8VO202",5098,"Hontoon Island [8VO202]","UM-2605",350,55,55,NA,NA,400,70
"Hontoon Island","8VO202",5098,"Hontoon Island [8VO202]","UM-2608",1040,50,50,NA,NA,1020,50
"Hontoon Island","8VO202",5098,"Hontoon Island [8VO202]","UM-2609",1140,45,45,NA,NA,1120,50
"Hontoon Island","8VO202",5098,"Hontoon Island [8VO202]","UM-2610",1110,80,80,NA,NA,1140,70
"Waubonsie","13ML-VP",4079,"Waubonsie","DIC-1688",14830,1060,1060,NA,NA,14830,1060
"Wittrock","13OB4",4056,"Wittrock [13OB4]","M-1065",525,150,150,525,75,525,75
"Wittrock","13OB4",4056,"Wittrock [13OB4]","WIS-51",440,80,80,440,80,520,80
"Johnson Farm 1","13ML128",4033,"Johnson-1 [13ML128]","WIS-565",790,50,50,NA,NA,790,55
"Hadfield's Cave","13JN3",4064,"Hadfield's Cave [13JN3]","WIS-589",1655,55,55,NA,NA,1655,65
"Hadfield's Cave","13JN3",4064,"Hadfield's Cave [13JN3]","WIS-596",1260,60,60,NA,NA,1220,60
"Kuhl 4","13ML139",4035,"KuhL-4 [13ML139]","WIS-700",835,45,45,NA,NA,835,55
"Cherokee Sewer","13CK405",4076,"Cherokee Sewer [13CK405]","WIS-888",7490,89,89,NA,NA,7490,80
"Petitt","11AX253",5799,"Petitt [11AX253]","Beta-16936",1610,80,80,1610,80,1580,80
"Petitt","11AX253",5799,"Petitt [11AX253]","Beta-23414",630,100,100,630,100,612,100
"Modoc Rockshelter","11RA501",6330,"Modoc Rock Shelter [11RA501]","C-904",10947,900,900,10947,900,10947,900
"Modoc Rockshelter","11RA501",6330,"Modoc Rock Shelter [11RA501]","C-904",7800,900,900,10947,900,10947,900
"Florence Street","11S458",6258,"Florence Street [11S458]","ISGS-616",2400,75,75,NA,NA,2400,80
"BBB Motor","11MS595",6248,"BBB Motor [11MS595]","ISGS-637",745,75,75,NA,NA,750,80
"BBB Motor","11MS595",6248,"BBB Motor [11MS595]","ISGS-708",930,75,75,NA,NA,930,80
"Columbia Quarry","11S629",6251,"Columbia Quarry [11S629]","ISGS-741",1570,75,75,NA,NA,1570,80
"Columbia Quarry","11S629",6251,"Columbia Quarry [11S629]","ISGS-745",1570,75,75,NA,NA,1570,80
"Cypress Land","11GE119",6290,"Cypress Land [11GE119]","ISGS-790",4810,75,75,NA,NA,4810,70
"Napoleon Hollow","11PK500",6282,"Napoleon Hollow [11PK500]","ISGS-834",1840,75,75,NA,NA,1840,70
"Smiling Dan","11ST123",5641,"Smiling Dan [11ST123]","ISGS-841",1780,75,75,NA,NA,1780,70
"Smiling Dan","11ST123",5641,"Smiling Dan [11ST123]","ISGS-843",1050,75,75,NA,NA,1050,70
"Smiling Dan","11ST123",5641,"Smiling Dan [11ST123]","ISGS-854",2020,75,75,NA,NA,2020,70
"Smiling Dan","11ST123",5641,"Smiling Dan [11ST123]","ISGS-856",1110,75,75,NA,NA,1110,70
"Fish Lake","11MO608",6254,"Fish Lake [11MO608]","ISGS-1047",1170,110,110,NA,NA,1170,100
"Smiling Dan","11ST123",5641,"Smiling Dan [11ST123]","ISGS-1094",1910,40,40,NA,NA,1910,70
"Modoc Rockshelter","11RA501",6330,"Modoc Rock Shelter [11RA501]","ISGS-1389",6510,80,80,NA,NA,6510,80
"Modoc Rockshelter","11RA501",6330,"Modoc Rock Shelter [11RA501]","ISGS-1389",7210,70,70,NA,NA,6510,80
