"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","source","TEMP_chronid"
15360,149710,"event",7324,7644,6984,"computed","TEMP2016"
15360,149710,"bounds",NA,8354,6284,"computed","TEMP2015"
15361,149711,"event",9884,10604,9244,"computed","TEMP2018"
15361,149711,"bounds",NA,12044,7804,"computed","TEMP2017"
15362,149712,"event",274,354,174,"computed","TEMP2020"
15362,149712,"bounds",NA,514,-16,"computed","TEMP2019"
15364,149714,"event",14034,15704,12374,"computed","TEMP2022"
15364,149714,"bounds",NA,18634,9424,"computed","TEMP2021"
15365,149715,"event",9354,10374,8354,"computed","TEMP2024"
15365,149715,"bounds",NA,12154,6584,"computed","TEMP2023"
15369,149809,"event",10624,10944,10344,"computed","TEMP2026"
15369,149809,"bounds",NA,11514,9754,"computed","TEMP2025"
15370,149810,"event",9094,9404,8764,"computed","TEMP2028"
15370,149810,"bounds",NA,10014,8164,"computed","TEMP2027"
15374,150374,"event",1694,1854,1544,"computed","TEMP2030"
15374,150374,"bounds",NA,2194,1214,"computed","TEMP2029"
15378,150424,"event",604,634,564,"computed","TEMP2032"
15378,150425,"event",444,494,374,"computed","TEMP2032"
15378,150424,"bounds",NA,674,524,"computed","TEMP2031"
15378,150425,"bounds",NA,564,314,"computed","TEMP2031"
15380,150430,"event",6014,7424,4604,"computed","TEMP2034"
15380,150430,"bounds",NA,9734,2304,"computed","TEMP2033"
15381,150434,"event",254,384,124,"computed","TEMP2036"
15381,150431,"event",134,214,74,"computed","TEMP2036"
15381,150432,"event",284,394,144,"computed","TEMP2036"
15381,150434,"bounds",NA,594,-75,"computed","TEMP2035"
15381,150431,"bounds",NA,274,4,"computed","TEMP2035"
15381,150432,"bounds",NA,614,-75,"computed","TEMP2035"
15390,150705,"event",5614,7834,3384,"computed","TEMP2038"
15390,150706,"event",9814,14254,5374,"computed","TEMP2038"
15390,150698,"event",164,274,64,"computed","TEMP2038"
15390,150696,"event",19704,19984,19424,"computed","TEMP2038"
15390,150701,"event",9524,9714,9364,"computed","TEMP2038"
15390,150699,"event",15104,16254,13964,"computed","TEMP2038"
15390,150705,"bounds",NA,11264,-46,"computed","TEMP2037"
15390,150706,"bounds",NA,21064,-75,"computed","TEMP2037"
15390,150698,"bounds",NA,474,-75,"computed","TEMP2037"
15390,150696,"bounds",NA,20604,18804,"computed","TEMP2037"
15390,150701,"bounds",NA,10124,8944,"computed","TEMP2037"
15390,150699,"bounds",NA,18164,12184,"computed","TEMP2037"
15433,151823,"event",1100,1200,900,"computed","TEMP2040"
15433,151833,"event",1300,1400,1100,"computed","TEMP2040"
15433,151837,"event",25100,38500,11800,"computed","TEMP2040"
15433,151835,"event",23200,36100,10300,"computed","TEMP2040"
15433,151851,"event",3400,3500,3200,"computed","TEMP2040"
15433,151850,"event",4700,4800,4500,"computed","TEMP2040"
15433,151836,"event",27800,39500,16000,"computed","TEMP2040"
15433,151838,"event",28200,40000,16500,"computed","TEMP2040"
15433,151824,"event",9000,9300,8800,"computed","TEMP2040"
15433,151834,"event",17300,17600,17100,"computed","TEMP2040"
15433,151840,"event",32500,39000,25900,"computed","TEMP2040"
15433,151854,"event",17200,22700,11700,"computed","TEMP2040"
15433,151841,"event",33800,38000,29600,"computed","TEMP2040"
15433,151829,"event",33300,33800,32700,"computed","TEMP2040"
15433,151844,"event",40900,44100,37900,"computed","TEMP2040"
15433,151860,"event",42400,46000,39000,"computed","TEMP2040"
15433,151842,"event",44500,49100,40200,"computed","TEMP2040"
15433,151832,"event",43200,45600,40800,"computed","TEMP2040"
15433,151864,"event",40200,41100,39200,"computed","TEMP2040"
15433,151862,"event",41500,42400,40600,"computed","TEMP2040"
15433,151846,"event",45300,48200,43200,"computed","TEMP2040"
15433,151839,"event",12000,12200,11800,"computed","TEMP2040"
15433,151825,"event",5200,5400,5000,"computed","TEMP2040"
15433,151826,"event",13800,14100,13500,"computed","TEMP2040"
15433,151827,"event",13900,14100,13700,"computed","TEMP2040"
15433,151828,"event",14700,15000,14400,"computed","TEMP2040"
15433,151830,"event",32600,33100,32000,"computed","TEMP2040"
15433,151831,"event",43300,44100,42700,"computed","TEMP2040"
15433,151823,"bounds",NA,1700,400,"computed","TEMP2039"
15433,151833,"bounds",NA,1800,700,"computed","TEMP2039"
15433,151837,"bounds",NA,59800,-75,"computed","TEMP2039"
15433,151835,"bounds",NA,56800,-75,"computed","TEMP2039"
15433,151851,"bounds",NA,3900,2900,"computed","TEMP2039"
15433,151850,"bounds",NA,5300,4100,"computed","TEMP2039"
15433,151836,"bounds",NA,58000,-75,"computed","TEMP2039"
15433,151838,"bounds",NA,58800,-75,"computed","TEMP2039"
15433,151824,"bounds",NA,9800,8200,"computed","TEMP2039"
15433,151834,"bounds",NA,18100,16600,"computed","TEMP2039"
15433,151840,"bounds",NA,49500,15000,"computed","TEMP2039"
15433,151854,"bounds",NA,31700,2600,"computed","TEMP2039"
15433,151841,"bounds",NA,45200,22400,"computed","TEMP2039"
15433,151829,"bounds",NA,35000,31500,"computed","TEMP2039"
15433,151844,"bounds",NA,49500,32300,"computed","TEMP2039"
15433,151860,"bounds",NA,52600,32600,"computed","TEMP2039"
15433,151842,"bounds",NA,57900,32000,"computed","TEMP2039"
15433,151832,"bounds",NA,49700,36600,"computed","TEMP2039"
15433,151864,"bounds",NA,43200,37100,"computed","TEMP2039"
15433,151862,"bounds",NA,44400,38600,"computed","TEMP2039"
15433,151846,"bounds",NA,53500,38100,"computed","TEMP2039"
15433,151839,"bounds",NA,12800,11200,"computed","TEMP2039"
15433,151825,"bounds",NA,5900,4500,"computed","TEMP2039"
15433,151826,"bounds",NA,14900,12800,"computed","TEMP2039"
15433,151827,"bounds",NA,14600,13200,"computed","TEMP2039"
15433,151828,"bounds",NA,15700,13800,"computed","TEMP2039"
15433,151830,"bounds",NA,34300,30800,"computed","TEMP2039"
15433,151831,"bounds",NA,45500,41300,"computed","TEMP2039"
15465,151931,"event",1894,2004,1794,"computed","TEMP2042"
15465,151930,"event",1374,1404,1354,"computed","TEMP2042"
15465,151929,"event",484,514,434,"computed","TEMP2042"
15465,151931,"bounds",NA,2174,1614,"computed","TEMP2041"
15465,151930,"bounds",NA,1464,1304,"computed","TEMP2041"
15465,151929,"bounds",NA,564,374,"computed","TEMP2041"
15505,152090,"event",864,1034,704,"computed","TEMP2044"
15505,152090,"bounds",NA,1314,424,"computed","TEMP2043"
15539,152308,"event",254,384,124,"computed","TEMP2046"
15539,152308,"bounds",NA,604,-75,"computed","TEMP2045"
15598,153245,"event",394,424,364,"computed","TEMP2048"
15598,153244,"event",374,504,234,"computed","TEMP2048"
15598,153243,"event",264,304,194,"computed","TEMP2048"
15598,153245,"bounds",NA,454,334,"computed","TEMP2047"
15598,153244,"bounds",NA,714,4,"computed","TEMP2047"
15598,153243,"bounds",NA,384,134,"computed","TEMP2047"
