"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","TEMP_chronid"
6006,9733,"Beta-4342",3354,3464,3194,112,82762,"TEMP1194"
6006,9726,"Beta-4335",3274,3404,3114,112,82762,"TEMP1194"
6006,9731,"Beta-4340",3254,3404,3054,112,82762,"TEMP1194"
6006,9732,"Beta-4341",3174,3344,2984,112,82762,"TEMP1194"
6006,9729,"Beta-4338",3174,3394,2944,112,82762,"TEMP1194"
6006,9730,"Beta-4339",3124,3314,2974,112,82762,"TEMP1194"
6006,9734,"Beta-4343",3114,3314,2944,112,82762,"TEMP1194"
6006,9727,"Beta-4336",3024,3184,2864,112,82762,"TEMP1194"
6007,9737,"TX-4035",694,764,584,112,82765,"TEMP1196"
6007,9735,"TX-4026",684,744,574,112,82765,"TEMP1196"
6007,9738,"TX-4038",604,654,554,112,82765,"TEMP1196"
6007,9736,"TX-4028",504,604,424,112,82765,"TEMP1196"
6007,9740,"TX-4037",1104,1374,974,112,82766,"TEMP1196"
6007,9743,"TX-4031",1024,1134,964,112,82766,"TEMP1196"
6007,9739,"TX-4036",994,1064,934,112,82766,"TEMP1196"
6007,9742,"TX-4030",984,1074,894,112,82766,"TEMP1196"
6007,9741,"TX-3130",934,1054,804,112,82766,"TEMP1196"
6007,9744,"TX-4029",1474,1664,1334,112,82767,"TEMP1196"
6007,9745,"TX-4027",4444,4754,4244,112,82768,"TEMP1196"
6008,9747,"TX-4024",604,664,554,112,82770,"TEMP1198"
6008,9746,"TX-2897",604,654,534,112,82770,"TEMP1198"
6008,9748,"TX-2896",2784,3504,2084,112,82771,"TEMP1198"
6008,9749,"TX-4023",4524,4794,4264,112,82772,"TEMP1198"
6008,9750,"TX-4025",4314,4414,4164,112,82773,"TEMP1198"
6009,9751,"TX-4170",974,1254,724,112,82777,"TEMP1200"
6009,9752,"TX-4171",964,1394,574,112,82777,"TEMP1200"
6010,9753,"B-2521",3324,4234,2514,112,82780,"TEMP1202"
6010,9754,"TX-3052",3804,4224,3474,112,82781,"TEMP1202"
6011,9755,"B-4813",284,454,14,112,82783,"TEMP1204"
6011,9756,"B-4815",144,274,24,112,82783,"TEMP1204"
6011,9759,"B-4817",1444,1534,1354,112,82784,"TEMP1204"
6011,9758,"B-4816",1224,1304,1084,112,82784,"TEMP1204"
6011,9757,"B-4814",784,914,684,112,82784,"TEMP1204"
6013,9763,"TX-3387",704,774,664,112,82791,"TEMP1206"
6013,9762,"TX-3390",614,664,554,112,82791,"TEMP1206"
6013,9761,"TX-3389",584,644,524,112,82791,"TEMP1206"
6013,9769,"Beta-4300",3434,3554,3334,112,82792,"TEMP1206"
6013,9766,"Beta-4297",3254,3364,3094,112,82792,"TEMP1206"
6013,9767,"Beta-4298",2874,3074,2754,112,82792,"TEMP1206"
6013,9765,"TX-3391",2844,3294,2414,112,82792,"TEMP1206"
6013,9768,"Beta-4299",2814,2994,2574,112,82792,"TEMP1206"
6013,9771,"Beta-4302",2764,2924,2504,112,82792,"TEMP1206"
6013,9772,"Beta-4303",2554,2734,2364,112,82792,"TEMP1206"
6013,9773,"Beta-4304",2454,2684,2314,112,82792,"TEMP1206"
6013,9770,"Beta-4301",2424,2694,2184,112,82792,"TEMP1206"
6013,9764,"TX-3385",2314,2614,2154,112,82792,"TEMP1206"
6013,9776,"TX-3063",3054,3944,2784,112,82793,"TEMP1206"
6013,9775,"TX-2906",3004,3394,2774,112,82793,"TEMP1206"
6013,9777,"TX-3386",2924,3144,2774,112,82793,"TEMP1206"
6013,9774,"TX-2905",2934,3264,2594,112,82793,"TEMP1206"
6014,9779,"TX-3059",3584,4564,2854,112,82794,"TEMP1208"
6014,9778,"TX-2899",3354,4454,2654,112,82794,"TEMP1208"
6014,9780,"Beta-4285",2804,3074,2494,112,82794,"TEMP1208"
6014,9786,"TX-3384",4894,5174,4464,112,82795,"TEMP1208"
6014,9793,"Beta-4292",4964,5184,4844,112,82795,"TEMP1208"
6014,9788,"Beta-4287",4954,5174,4844,112,82795,"TEMP1208"
6014,9796,"Beta-4295",4934,5164,4704,112,82795,"TEMP1208"
6014,9792,"Beta-4291",4854,5134,4464,112,82795,"TEMP1208"
6014,9787,"Beta-4284",4774,4964,4584,112,82795,"TEMP1208"
6014,9785,"TX-3383",4754,4954,4564,112,82795,"TEMP1208"
6014,9781,"TX-3379",4724,4864,4544,112,82795,"TEMP1208"
6014,9795,"Beta-4294",4694,4904,4454,112,82795,"TEMP1208"
6014,9789,"Beta-4288",4684,4914,4444,112,82795,"TEMP1208"
6014,9782,"TX-3380",4654,4844,4434,112,82795,"TEMP1208"
6014,9790,"Beta-4289",4624,4854,4354,112,82795,"TEMP1208"
6014,9797,"Beta-4296",4514,4794,4284,112,82795,"TEMP1208"
6014,9798,"Beta-4822",4434,4744,4244,112,82795,"TEMP1208"
6014,9791,"Beta-4290",4374,4514,4224,112,82795,"TEMP1208"
6014,9794,"Beta-4293",4384,4614,4194,112,82795,"TEMP1208"
6014,9783,"TX-3381",4354,4534,4124,112,82795,"TEMP1208"
