"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","chronology.agemodel","chroncontrols.notes"
4541,NA,NA,NA,18777,11442,80,80401,"bounds","inferred: full range of dated units in collection"
4541,NA,NA,NA,17507,12472,80,80403,"event","inferred: full range of dated units in collection"
4541,NA,NA,NA,18777,11442,80,80403,"bounds","inferred: full range of dated units in collection"
4541,NA,NA,NA,17507,12472,80,80404,"event","inferred: full range of dated units in collection"
4541,NA,NA,NA,18777,11442,80,80404,"bounds","inferred: full range of dated units in collection"
4541,NA,NA,NA,17507,12472,80,80405,"event","inferred: full range of dated units in collection"
4541,NA,NA,NA,18777,11442,80,80405,"bounds","inferred: full range of dated units in collection"
4541,NA,NA,NA,17507,12472,80,80407,"event","inferred: full range of dated units in collection"
4541,NA,NA,NA,18777,11442,80,80407,"bounds","inferred: full range of dated units in collection"
4542,NA,NA,NA,3402,1962,80,80408,"event","inferred: range of Stratum 2 and Surface"
4542,NA,NA,NA,4622,732,80,80408,"bounds","inferred: range of Stratum 2 and Surface"
4542,NA,NA,NA,26000,21042,37,80409,"event","inferred: below Stratum 9, post-LGM"
4542,NA,NA,NA,26000,22672,37,80409,"bounds","inferred: below Stratum 9, post-LGM"
4542,NA,NA,NA,26000,21042,37,80410,"event","inferred: below Stratum 9, post-LGM"
4542,NA,NA,NA,26000,22672,37,80410,"bounds","inferred: below Stratum 9, post-LGM"
4542,NA,NA,NA,26000,21042,37,80411,"event","inferred: below Stratum 9, post-LGM"
4542,NA,NA,NA,26000,22672,37,80411,"bounds","inferred: below Stratum 9, post-LGM"
4542,NA,NA,NA,19072,3997,23,80416,"event","inferred: between Strata 5 and 9"
4542,NA,NA,NA,17412,4217,23,80416,"bounds","inferred: between Strata 5 and 9"
4542,NA,NA,NA,19072,3997,23,80417,"event","inferred: between Strata 5 and 9"
4542,NA,NA,NA,17412,4217,23,80417,"bounds","inferred: between Strata 5 and 9"
4542,NA,NA,NA,26000,21042,37,96109,"event","inferred: below Stratum 9, post-LGM"
4542,NA,NA,NA,26000,22672,37,96109,"bounds","inferred: below Stratum 9, post-LGM"
4542,NA,NA,NA,19072,3997,23,96110,"event","inferred: between Strata 5 and 9"
4542,NA,NA,NA,17412,4217,23,96110,"bounds","inferred: between Strata 5 and 9"
4542,NA,NA,NA,26000,21042,37,96111,"event","inferred: below Stratum 9, post-LGM"
4542,NA,NA,NA,26000,22672,37,96111,"bounds","inferred: below Stratum 9, post-LGM"
4553,NA,NA,14052,14327,13867,112,80437,"event","inferred: same as Bone Bed 1"
4553,NA,NA,NA,14812,13492,112,80437,"bounds","inferred: same as Bone Bed 1"
4553,NA,NA,2752,2837,2672,112,80439,"event","inferred: same as Bone Bed 3"
4553,NA,NA,NA,3012,2497,112,80439,"bounds","inferred: same as Bone Bed 3"
4553,NA,NA,NA,6992,1352,23,80440,"event","inferred: top of Zone 2 to top of Fiber Layer"
4553,NA,NA,NA,6447,1127,23,80440,"bounds","inferred: top of Zone 2 to top of Fiber Layer"
4570,NA,NA,NA,4562,57,80,80458,"event","inferred: full range of dated units in collection"
4570,NA,NA,NA,4517,0,80,80458,"bounds","inferred: full range of dated units in collection"
4570,NA,NA,NA,3837,322,23,80460,"event","inferred: between Zone I and Zone III"
4570,NA,NA,NA,3797,522,23,80460,"bounds","inferred: between Zone I and Zone III"
4570,NA,NA,NA,3837,57,80,80463,"event","inferred: full range of Zones II-III"
4570,NA,NA,NA,3797,0,80,80463,"bounds","inferred: full range of Zones II-III"
4592,NA,NA,NA,12297,10292,23,80487,"event","inferred: between II and IV"
4592,NA,NA,NA,19434,6864,23,80487,"bounds","inferred: range of II and IV"
4592,NA,NA,NA,8487,0,23,80489,"event","inferred: above IV"
4592,NA,NA,NA,6877,0,23,80489,"bounds","inferred: above IV"
4593,NA,NA,NA,10767,442,80,80491,"event","inferred: range of Strata 1 and 4"
4593,NA,NA,NA,15842,-63,80,80491,"bounds","inferred: range of Strata 1 and 4"
4593,NA,NA,NA,10767,442,80,80492,"event","inferred: range of Strata 1 and 4"
4593,NA,NA,NA,15842,-63,80,80492,"bounds","inferred: range of Strata 1 and 4"
4600,NA,NA,NA,12017,0,23,80505,"event","inferred: above Zone 4"
4600,NA,NA,NA,11522,0,23,80505,"event","inferred: above Zone 4"
4600,NA,NA,NA,12017,0,23,80506,"event","inferred: above Zone 4"
4600,NA,NA,NA,11522,0,23,80506,"event","inferred: above Zone 4"
4600,NA,NA,NA,12017,500,37,80507,"event","inferred: above Zone 4, biostratigraphically &lt;500 yr"
4600,NA,NA,NA,11522,500,37,80507,"event","inferred: above Zone 4, biostratigraphically &lt;500 yr"
4605,NA,NA,NA,5902,0,23,80517,"event","inferred: above youngest buried layer"
4605,NA,NA,NA,3752,0,23,80517,"bounds","inferred: above youngest buried layer"
4605,NA,NA,NA,9852,8387,23,80519,"event","inferred: between Zone I and Operations 2-3"
4605,NA,NA,NA,9612,3752,23,80519,"bounds","inferred: above Zone I, below top of Operations 2-3"
4605,NA,NA,NA,9852,8387,23,80520,"event","inferred: between Zone I and Operations 2-3"
4605,NA,NA,NA,9612,3752,23,80520,"bounds","inferred: above Zone I, below top of Operations 2-3"
