"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","TEMP_chronid"
"4607",80535,"event",NA,6122,4212,"TEMP206"
"4607",80535,"bounds",NA,6637,4292,"TEMP205"
"4607",80537,"event",NA,7362,5487,"TEMP206"
"4607",80537,"bounds",NA,7582,4972,"TEMP205"
"4607",80538,"event",NA,9377,5487,"TEMP206"
"4607",80538,"bounds",NA,9697,4972,"TEMP205"
"4607",80542,"event",NA,10517,8142,"TEMP206"
"4607",80542,"bounds",NA,10967,7517,"TEMP205"
"4607",80544,"event",NA,10517,1607,"TEMP206"
"4607",80544,"bounds",NA,10967,1337,"TEMP205"
"4673",80628,"event",NA,1702,1097,"TEMP262"
"4673",80628,"bounds",NA,1717,1082,"TEMP261"
"4677",80634,"event",NA,5817,1227,"TEMP266"
"4677",80634,"bounds",NA,6127,892,"TEMP265"
"4691",92066,"event",NA,5642,2292,"TEMP278"
"4691",92066,"bounds",NA,5462,1752,"TEMP277"
"4718",80691,"event",NA,48352,12912,"TEMP288"
"4718",80691,"bounds",NA,53862,11292,"TEMP287"
"4718",80692,"event",NA,48352,12912,"TEMP288"
"4718",80692,"bounds",NA,53862,11292,"TEMP287"
"4718",80693,"event",NA,48352,12912,"TEMP288"
"4718",80693,"bounds",NA,53862,11292,"TEMP287"
"4718",80696,"event",NA,48352,12912,"TEMP288"
"4718",80696,"bounds",NA,53862,11292,"TEMP287"
"4718",80697,"event",NA,48352,12912,"TEMP288"
"4718",80697,"bounds",NA,53862,11292,"TEMP287"
"4718",80698,"event",NA,48352,12912,"TEMP288"
"4718",80698,"bounds",NA,53862,11292,"TEMP287"
"4718",80700,"event",NA,48352,12912,"TEMP288"
"4718",80700,"bounds",NA,53862,11292,"TEMP287"
"4839",80901,"event",NA,2257,1377,"TEMP374"
"4839",80901,"bounds",NA,3097,612,"TEMP373"
"4840",80902,"event",1832,1952,1727,"TEMP376"
"4840",80902,"bounds",NA,2197,1482,"TEMP375"
"4840",80903,"event",1832,1952,1727,"TEMP376"
"4840",80903,"bounds",NA,2197,1482,"TEMP375"
"4840",80905,"event",1832,1952,1727,"TEMP376"
"4840",80905,"bounds",NA,2197,1482,"TEMP375"
"4845",80914,"event",NA,6502,3292,"TEMP386"
"4845",80914,"bounds",NA,6112,3442,"TEMP385"
"4845",80916,"event",NA,9077,6857,"TEMP386"
"4845",80916,"bounds",NA,8842,7182,"TEMP385"
"4871",80943,"event",NA,1802,1447,"TEMP404"
"4871",80943,"bounds",NA,2017,1252,"TEMP403"
"4871",80944,"event",NA,1802,1447,"TEMP404"
"4871",80944,"bounds",NA,2017,1252,"TEMP403"
"4871",80945,"event",NA,1802,1447,"TEMP404"
"4871",80945,"bounds",NA,2017,1252,"TEMP403"
"4889",80966,"event",NA,8067,397,"TEMP418"
"4889",80966,"bounds",NA,8122,347,"TEMP417"
"4913",80994,"event",322,367,277,"TEMP446"
"4913",80994,"bounds",NA,467,192,"TEMP445"
"4913",80995,"event",322,367,277,"TEMP446"
"4913",80995,"bounds",NA,467,192,"TEMP445"
"4913",80996,"event",322,367,277,"TEMP446"
"4913",80996,"bounds",NA,467,192,"TEMP445"
"4913",80997,"event",322,367,277,"TEMP446"
"4913",80997,"bounds",NA,467,192,"TEMP445"
"4913",80998,"event",322,367,277,"TEMP446"
"4913",80998,"bounds",NA,467,192,"TEMP445"
"4913",80999,"event",322,367,277,"TEMP446"
"4913",80999,"bounds",NA,467,192,"TEMP445"
"4913",81000,"event",322,367,277,"TEMP446"
"4913",81000,"bounds",NA,467,192,"TEMP445"
"4913",81001,"event",322,367,277,"TEMP446"
"4913",81001,"bounds",NA,467,192,"TEMP445"
"4914",81003,"event",NA,597,432,"TEMP448"
"4914",81003,"bounds",NA,597,432,"TEMP447"
"4954",81049,"event",NA,1787,947,"TEMP474"
"4954",81049,"bounds",NA,1822,907,"TEMP473"
"5046",81165,"event",NA,21000,15197,"TEMP590"
"5046",81165,"bounds",NA,21000,19612,"TEMP589"
"5046",81166,"event",NA,2807,0,"TEMP590"
"5046",81166,"bounds",NA,847,0,"TEMP589"
"5190",81328,"event",NA,6500,4407,"TEMP644"
"5190",81328,"bounds",NA,6500,5932,"TEMP643"
"5206",81351,"event",NA,9502,1092,"TEMP650"
"5206",81351,"bounds",NA,9362,1207,"TEMP649"
"5206",81353,"event",NA,9697,937,"TEMP650"
"5206",81353,"bounds",NA,9867,812,"TEMP649"
"5212",81362,"event",NA,1362,0,"TEMP652"
"5212",81362,"bounds",NA,1187,0,"TEMP651"
"5212",81364,"event",NA,9552,9057,"TEMP652"
"5212",81364,"bounds",NA,9572,9062,"TEMP651"
"5212",81367,"event",NA,8842,4062,"TEMP652"
"5212",81367,"bounds",NA,8907,3562,"TEMP651"
"5212",81369,"event",NA,4772,1362,"TEMP652"
"5212",81369,"bounds",NA,5307,1187,"TEMP651"
"5212",81371,"event",NA,9552,1362,"TEMP652"
"5212",81371,"bounds",NA,9572,1187,"TEMP651"
"5212",81372,"event",NA,9552,1362,"TEMP652"
"5212",81372,"bounds",NA,9572,1187,"TEMP651"
"5226",81390,"event",NA,24832,6812,"TEMP666"
"5226",81390,"bounds",NA,28002,4257,"TEMP665"
"5226",81391,"event",NA,24832,6812,"TEMP666"
"5226",81391,"bounds",NA,28002,4257,"TEMP665"
"5226",81392,"event",NA,6812,0,"TEMP666"
"5226",81392,"bounds",NA,4257,0,"TEMP665"
