"siteid","collectionunitid","datasetid","datasettype"
4027,4963,9524,"geochron"
4029,4965,5110,"vertebrate"
4029,4965,9525,"geochron"
4031,4967,5112,"vertebrate"
4031,4967,9526,"geochron"
4032,4968,5113,"vertebrate"
4032,4968,9527,"geochron"
4033,4969,5114,"vertebrate"
4033,4969,9528,"geochron"
4034,4970,5115,"vertebrate"
4034,4970,9529,"geochron"
4035,4971,5116,"vertebrate"
4035,4971,9530,"geochron"
4036,4972,5117,"vertebrate"
4036,4972,9531,"geochron"
4037,4973,5118,"vertebrate"
4037,4973,9532,"geochron"
4038,4974,5119,"vertebrate"
4038,4974,9533,"geochron"
4039,4975,5120,"vertebrate"
4039,4975,10398,"geochron"
4040,4976,5121,"vertebrate"
4040,4976,9534,"geochron"
4041,4977,5122,"vertebrate"
4041,4977,9535,"geochron"
4042,4978,5123,"vertebrate"
4042,4978,9536,"geochron"
4043,4979,5124,"vertebrate"
4043,4979,9537,"geochron"
4044,4980,5125,"vertebrate"
4044,4980,9538,"geochron"
4045,4981,5126,"vertebrate"
4045,4981,9539,"geochron"
4050,4986,5131,"vertebrate"
4050,4986,9540,"geochron"
4052,4988,5133,"vertebrate"
4052,4988,9541,"geochron"
4054,4990,5135,"vertebrate"
4054,4990,9542,"geochron"
4055,4991,5136,"vertebrate"
4055,4991,9543,"geochron"
4056,4992,5137,"vertebrate"
4056,4992,9544,"geochron"
4057,4993,5138,"vertebrate"
4057,4993,9545,"geochron"
4059,4995,5140,"vertebrate"
4059,4995,9546,"geochron"
4060,4996,5141,"vertebrate"
4060,4996,9547,"geochron"
4061,4997,5142,"vertebrate"
4061,4997,9548,"geochron"
4062,4998,5143,"vertebrate"
4062,4998,9549,"geochron"
4063,4999,5144,"vertebrate"
4063,4999,9550,"geochron"
4064,5000,5145,"vertebrate"
4064,5000,9551,"geochron"
4067,5003,5148,"vertebrate"
4067,5003,9552,"geochron"
4068,5004,5149,"vertebrate"
4068,5004,9553,"geochron"
4069,5005,5150,"vertebrate"
4069,5005,9554,"geochron"
4070,5006,5151,"vertebrate"
4070,5006,9555,"geochron"
4072,5008,5153,"vertebrate"
4072,5008,9556,"geochron"
4073,5009,5154,"vertebrate"
4073,5009,9557,"geochron"
