"TEMP_chronid","ndb.chronologies.chronologyid","ndb.chronologies.collectionunitid","ndb.chronologies.agemodel","ndb.chronologies.ageboundolder","ndb.chronologies.ageboundyounger","ndb.chronologies.dateprepared","ndb.chronologies.notes","ndb.chronologies.agetypeid","ndb.chronologies.contactid","ndb.chronologies.isdefault","ndb.chronologies.chronologyname"
"TEMP176",NA,4579,"event",19514,8154,45769,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP177",NA,4582,"bounds",20104,11454,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP178",NA,4582,"event",17194,14314,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP179",NA,4592,"bounds",19434,0,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP180",NA,4592,"event",16064,0,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP181",NA,4593,"bounds",15874,-75,45683,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP182",NA,4593,"event",10784,434,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP183",NA,4594,"bounds",10400,-75,45683,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP184",NA,4594,"event",6300,800,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP185",NA,4595,"bounds",18404,13514,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP186",NA,4595,"event",16894,15044,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP187",NA,4596,"bounds",9674,954,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP188",NA,4596,"event",8604,2534,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP189",NA,4597,"bounds",15714,2984,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP190",NA,4597,"event",12804,3834,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP191",NA,4599,"bounds",11664,1164,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP192",NA,4599,"event",8494,4384,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP193",NA,4600,"bounds",13174,11414,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP194",NA,4600,"event",12594,0,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP195",NA,4602,"bounds",13834,11814,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP196",NA,4602,"event",13134,12504,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP197",NA,4603,"bounds",9324,7794,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP198",NA,4603,"event",8814,8324,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP199",NA,4604,"bounds",13224,1874,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP200",NA,4604,"event",9634,5464,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP201",NA,4605,"bounds",10674,0,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP202",NA,4605,"event",10424,0,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP203",NA,4606,"bounds",18024,5000,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP204",NA,4606,"event",15374,5000,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP205",NA,4607,"bounds",10994,1294,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP206",NA,4607,"event",10524,1604,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP207",NA,4609,"bounds",24254,15204,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP208",NA,4609,"event",21204,18234,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP209",NA,4610,"bounds",3134,1134,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP210",NA,4610,"event",2474,1714,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP211",NA,4611,"bounds",984,484,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP212",NA,4611,"event",804,664,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP213",NA,4613,"bounds",13100,11500,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP214",NA,4613,"event",12700,12100,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP215",NA,4614,"bounds",1854,1404,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP216",NA,4614,"event",1714,1544,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP217",NA,4616,"bounds",494,24,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP218",NA,4616,"event",384,164,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP219",NA,4619,"bounds",14600,9800,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP220",NA,4619,"event",13700,11300,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP221",NA,4620,"bounds",12274,10854,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP222",NA,4620,"event",11854,11284,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP223",NA,4622,"bounds",11824,8554,45678,NA,3,6539,FALSE,"Syverson-Blois"
